Symbol,Entry,Exit,Return,Profit,Reason,Date
CREDITACC.NS,1120.5999755859375,1126.9440234375,0.57,50.0,TRAIL_STOP,2025-04-21
VTL.NS,490.6988220214844,483.5973442526524,-1.45,-125.0,TRAIL_STOP,2025-04-22
INDUSINDBK.NS,828.2000122070312,795.07201171875,-4.0,-353.0,TRAIL_STOP,2025-04-22
HOMEFIRST.NS,1226.504150390625,1263.0988295642705,2.98,260.0,TRAIL_STOP,2025-04-23
AUBANK.NS,664.63037109375,666.1864169939753,0.23,21.0,TRAIL_STOP,2025-04-24
INTELLECT.NS,804.7191772460938,772.53041015625,-4.0,-350.0,TRAIL_STOP,2025-04-25
TCS.NS,3393.40771484375,3316.154369572752,-2.28,-198.0,TRAIL_STOP,2025-04-30
RBLBANK.NS,206.34963989257812,198.21043324336975,-3.94,-343.0,TRAIL_STOP,2025-04-30
DATAPATTNS.NS,2549.251220703125,2509.49441915976,-1.56,-136.0,TRAIL_STOP,2025-04-30
IGL.NS,191.24502563476562,197.33222067963064,3.18,272.0,TRAIL_STOP,2025-05-05
ELECON.NS,574.8275146484375,579.1557611060632,0.75,64.0,TRAIL_STOP,2025-05-06
TIINDIA.NS,2990.071044921875,2885.2445376818614,-3.51,-302.0,TRAIL_STOP,2025-05-07
M&M.NS,3043.944580078125,2987.5181653980844,-1.85,-160.0,TRAIL_STOP,2025-05-08
KEI.NS,3295.300048828125,3269.7599999999998,-0.78,-66.0,TRAIL_STOP,2025-05-08
INTELLECT.NS,837.8742065429688,848.1180555821712,1.22,104.0,TRAIL_STOP,2025-05-09
KPRMILL.NS,1303.5316162109375,1251.3903515625,-4.0,-342.0,TRAIL_STOP,2025-05-12
PERSISTENT.NS,5860.69873046875,5701.428126491711,-2.72,-230.0,TRAIL_STOP,2025-05-14
ELECON.NS,666.8358154296875,643.0332812107039,-3.57,-302.0,TRAIL_STOP,2025-05-14
ELECON.NS,677.6514892578125,657.4355365093761,-2.98,-250.0,TRAIL_STOP,2025-05-16
HBLENGINE.NS,568.3831176757812,572.1127445347129,0.66,55.0,TRAIL_STOP,2025-05-19
COCHINSHIP.NS,2028.1033935546875,2099.439730580677,3.52,292.0,TRAIL_STOP,2025-05-19
RITES.NS,288.2027282714844,277.86606293635833,-3.59,-301.0,TRAIL_STOP,2025-05-20
GRSE.NS,2744.572509765625,2768.7183757585417,0.88,73.0,TRAIL_STOP,2025-05-23
RPOWER.NS,51.900001525878906,52.895998535156245,1.92,160.0,TRAIL_STOP,2025-05-26
TATASTEEL.NS,155.07359313964844,157.56549072265625,1.61,134.0,TIME_EXIT,2025-05-28
JMFINANCIL.NS,118.44038391113281,121.30784219758812,2.42,202.0,TRAIL_STOP,2025-05-28
IFCI.NS,70.30999755859375,71.52,1.72,146.0,TRAIL_STOP,2025-05-29
MMTC.NS,81.11000061035156,84.66240234375,4.38,373.0,TRAIL_STOP,2025-05-30
MMTC.NS,85.7699966430664,82.33919677734374,-4.0,-345.0,TRAIL_STOP,2025-06-02
KAJARIACER.NS,1039.2789306640625,1022.6424560546875,-1.6,-134.0,TIME_EXIT,2025-06-03
RPOWER.NS,61.970001220703125,59.923198242187496,-3.3,-281.0,TRAIL_STOP,2025-06-03
ASTRAL.NS,1523.281982421875,1518.2955322265625,-0.33,-28.0,TIME_EXIT,2025-06-04
CDSL.NS,1695.079345703125,1709.2636772205192,0.84,70.0,TRAIL_STOP,2025-06-05
RELINFRA.NS,380.6000061035156,365.37600585937497,-4.0,-335.0,TRAIL_STOP,2025-06-05
