Symbol,Entry,Exit,Return,Profit,Date
KAJARIACER.NS,1096.4169921875,983.6757202148438,-10.28,-1714.0,2025-01-06
CIPLA.NS,1475.63671875,1424.2852783203125,-3.48,-580.0,2025-01-06
TECHNOE.NS,1531.12841796875,1036.637451171875,-32.3,-5383.0,2025-01-06
OFSS.NS,8786.3447265625,7284.37744140625,-17.09,-2412.0,2025-02-03
PFC.NS,369.2314453125,370.8429870605469,0.44,62.0,2025-02-03
LICHSGFIN.NS,547.9503784179688,494.4918518066406,-9.76,-1376.0,2025-02-03
ATUL.NS,5497.57568359375,5807.73876953125,5.64,726.0,2025-03-03
KFINTECH.NS,866.4985961914062,1035.666015625,19.52,2512.0,2025-03-03
BLUEJET.NS,769.3464965820312,797.197509765625,3.62,466.0,2025-03-03
LALPATHLAB.NS,1223.892578125,1378.5745849609375,12.64,1782.0,2025-04-07
GPIL.NS,179.3179168701172,177.15853881835938,-1.2,-170.0,2025-04-07
DMART.NS,4023.14990234375,3972.39990234375,-1.26,-178.0,2025-04-07
ANANDRATHI.NS,1734.9764404296875,1964.5941162109375,13.23,1929.0,2025-05-05
NH.NS,1775.2191162109375,1741.997314453125,-1.87,-273.0,2025-05-05
IDFCFIRSTB.NS,66.80135345458984,68.46591186523438,2.49,363.0,2025-05-05
JINDALSTEL.NS,941.7816772460938,939.8355712890625,-0.21,-32.0,2025-06-02
HCLTECH.NS,1605.996826171875,1701.5789794921875,5.95,908.0,2025-06-02
JSL.NS,641.3890380859375,703.2787475585938,9.65,1472.0,2025-06-02
WAAREEENER.NS,2915.364501953125,3086.868408203125,5.88,943.0,2025-07-07
TECHNOE.NS,1568.79541015625,1425.9788818359375,-9.1,-1460.0,2025-07-07
KIRLOSBROS.NS,2306.161865234375,1857.800048828125,-19.44,-3117.0,2025-07-07
HAVELLS.NS,1508.5999755859375,1566.0999755859375,3.81,565.0,2025-08-04
SOLARINDS.NS,14366.0,14293.0,-0.51,-75.0,2025-08-04
BANKBARODA.NS,241.1699981689453,238.4199981689453,-1.14,-169.0,2025-08-04
ASTRAL.NS,1405.9541015625,1365.392822265625,-2.88,-431.0,2025-09-01
HAL.NS,4429.60009765625,4740.0,7.01,1046.0,2025-09-01
BLUEDART.NS,5802.0,5578.0,-3.86,-576.0,2025-09-01
ACC.NS,1833.4000244140625,1832.5999755859375,-0.04,-7.0,2025-10-06
MANYAVAR.NS,696.1500244140625,644.9000244140625,-7.36,-1100.0,2025-10-06
AMBUJACEM.NS,573.7999877929688,567.4000244140625,-1.12,-167.0,2025-10-06
IDEA.NS,9.539999961853027,9.930000305175781,4.09,594.0,2025-11-03
PCBL.NS,357.79998779296875,324.1000061035156,-9.42,-1367.0,2025-11-03
RADICO.NS,3193.60009765625,3217.0,0.73,106.0,2025-11-03
KIRLOSBROS.NS,1685.5,1616.9000244140625,-4.07,-582.0,2025-12-01
AIIL.NS,528.219970703125,599.8599853515625,13.56,1939.0,2025-12-01
BAJAJHFL.NS,104.48999786376953,94.16999816894531,-9.88,-1412.0,2025-12-01
