ret,reason,days
-0.08251343110076992,Hard SL,4
-0.0832765781285472,Hard SL,4
-0.10337038827661084,Hard SL,5
-0.09930813387504914,Hard SL,5
-0.08060904464203816,Hard SL,1
-0.11816574451245468,Hard SL,2
-0.22848147308830938,Hard SL,13
-0.09453153008484703,Hard SL,11
-0.12634522973781065,Hard SL,9
-0.09524662067699138,Hard SL,0
-0.007948833601628345,Time Stop (Laggard),24
0.13277219675494684,Trailing SL,24
0.08063712024754066,Trailing SL,46
-0.10302004657804492,Hard SL,6
0.10325340452456373,Trailing SL,59
0.08579280489828313,Trailing SL,13
-0.044398962762005646,Time Stop (Laggard),21
-0.05270888738566317,Time Stop (Laggard),21
0.16054601522972625,Trailing SL,69
0.1108585205241809,Trailing SL,54
0.13860834924546298,Trailing SL,133
-0.0845704957581839,Hard SL,13
-0.09787634451549104,Hard SL,10
-0.08420806685289262,Hard SL,19
-0.03637894248035028,Time Stop (Laggard),21
0.07181286787274418,Trailing SL,35
-0.08147491190677138,Hard SL,7
0.23844479710133767,Trailing SL,26
0.10907978215413734,Trailing SL,18
-0.09314777186694848,Hard SL,9
0.059465993292336136,Trailing SL,20
-0.024346743218205836,Time Stop (Laggard),21
0.09386566723579964,Trailing SL,55
0.12500001318686838,Trailing SL,29
-0.0038134771202166,Time Stop (Laggard),21
