,0
0,99828.82548095702
1,96590.85186828613
2,96031.65023864746
3,92546.06302459717
4,95019.37602020265
5,94093.22171295166
6,91540.25870025635
7,91055.67128021241
8,90958.84893951417
9,92664.45325805664
10,93581.1441760254
11,98824.4650378418
12,8806.211131591805
13,92545.08954956055
14,8806.211131591805
15,98907.68525268555
16,95113.57074279786
17,94794.65669647217
18,96812.62337127686
19,98866.29431884766
20,98804.53833740235
21,102533.0837475586
22,104790.72980468751
23,105284.92078369141
24,105621.72492187501
25,110325.1007763672
26,107870.40515869141
27,106682.2132626343
28,106465.11601776125
29,104287.58798355104
30,102590.07888931276
31,101476.64547866823
32,105636.66679641725
33,107480.48295852663
34,105154.49168655397
35,104597.25576980592
36,105824.8459512067
37,105898.65483182194
38,102566.34388539556
39,106702.07931992773
40,105060.21027142766
41,106708.9012166715
42,108615.68050400975
43,106435.30663907292
44,102690.4944564176
45,107925.78856312993
46,103878.67266518835
47,103313.61422021154
