Symbol,Entry,Exit,Return,Profit,Date
KAJARIACER.NS,1096.4169921875,1045.5177001953125,-4.64,-774.0,2025-01-06
CIPLA.NS,1475.63671875,1430.17236328125,-3.08,-513.0,2025-01-06
TECHNOE.NS,1531.12841796875,1317.0030517578125,-13.98,-2331.0,2025-01-06
OFSS.NS,8786.3447265625,8393.7626953125,-4.47,-691.0,2025-02-03
PFC.NS,369.2314453125,356.9141540527344,-3.34,-516.0,2025-02-03
LICHSGFIN.NS,547.9503784179688,529.1809692382812,-3.43,-530.0,2025-02-03
ATUL.NS,5497.57568359375,5794.6328125,5.4,804.0,2025-03-03
KFINTECH.NS,866.4985961914062,907.3749389648438,4.72,702.0,2025-03-03
BLUEJET.NS,769.3464965820312,883.2960205078125,14.81,2204.0,2025-03-03
LALPATHLAB.NS,1223.892578125,1385.431884765625,13.2,2127.0,2025-04-07
GPIL.NS,179.3179168701172,201.22018432617188,12.21,1969.0,2025-04-07
DMART.NS,4023.14990234375,4498.7998046875,11.82,1906.0,2025-04-07
ANANDRATHI.NS,1734.9764404296875,1827.958740234375,5.36,971.0,2025-05-05
NH.NS,1775.2191162109375,1748.2825927734375,-1.52,-275.0,2025-05-05
IDFCFIRSTB.NS,66.80135345458984,68.43600463867188,2.45,443.0,2025-05-05
JINDALSTEL.NS,941.7816772460938,920.7733154296875,-2.23,-413.0,2025-06-02
HCLTECH.NS,1605.996826171875,1696.06640625,5.61,1037.0,2025-06-02
JSL.NS,641.3890380859375,700.1369018554688,9.16,1694.0,2025-06-02
WAAREEENER.NS,2915.364501953125,3084.369873046875,5.8,1117.0,2025-07-07
TECHNOE.NS,1568.79541015625,1535.103759765625,-2.15,-414.0,2025-07-07
KIRLOSBROS.NS,2306.161865234375,2084.325439453125,-9.62,-1854.0,2025-07-07
HAVELLS.NS,1508.5999755859375,1570.0,4.07,769.0,2025-08-04
SOLARINDS.NS,14366.0,14699.0,2.32,438.0,2025-08-04
BANKBARODA.NS,241.1699981689453,247.0500030517578,2.44,461.0,2025-08-04
ASTRAL.NS,1405.9541015625,1457.1051025390625,3.64,707.0,2025-09-01
HAL.NS,4429.60009765625,4795.2001953125,8.25,1605.0,2025-09-01
BLUEDART.NS,5802.0,5701.5,-1.73,-337.0,2025-09-01
ACC.NS,1833.4000244140625,1830.9000244140625,-0.14,-27.0,2025-10-06
MANYAVAR.NS,696.1500244140625,684.1500244140625,-1.72,-347.0,2025-10-06
AMBUJACEM.NS,573.7999877929688,565.5,-1.45,-291.0,2025-10-06
IDEA.NS,9.539999961853027,10.930000305175781,14.57,2897.0,2025-11-03
PCBL.NS,357.79998779296875,348.25,-2.67,-531.0,2025-11-03
RADICO.NS,3193.60009765625,3285.39990234375,2.87,571.0,2025-11-03
KIRLOSBROS.NS,1685.5,1699.0,0.8,167.0,2025-12-01
AIIL.NS,528.219970703125,537.2000122070312,1.7,355.0,2025-12-01
BAJAJHFL.NS,104.48999786376953,95.79000091552734,-8.33,-1737.0,2025-12-01
