Symbol,Entry,Exit,Return,Profit,Reason,Date
NAUKRI.NS,1482.7105712890625,1408.5750427246094,-5.0,-2231.0,STOP_LOSS,2025-05-28
HEG.NS,488.9578857421875,493.8474645996094,1.0,424.0,TARGET_HIT_1%,2025-05-29
JSWENERGY.NS,498.9283447265625,503.9176281738281,1.0,428.0,TARGET_HIT_1%,2025-06-03
MSUMI.NS,38.77212142944336,39.1598426437378,1.0,432.0,TARGET_HIT_1%,2025-06-05
VOLTAS.NS,1240.574951171875,1252.9807006835938,1.0,437.0,TARGET_HIT_1%,2025-06-06
JINDALSTEL.NS,960.8438720703125,970.4523107910156,1.0,441.0,TARGET_HIT_1%,2025-06-09
CRAFTSMAN.NS,5547.82373046875,5603.301967773437,1.0,446.0,TARGET_HIT_1%,2025-06-10
SBILIFE.NS,1785.5,1803.355,1.0,450.0,TARGET_HIT_1%,2025-06-12
TORNTPOWER.NS,1398.9000244140625,1412.8890246582032,1.0,454.0,TARGET_HIT_1%,2025-06-13
TTML.NS,71.5999984741211,72.4000015258789,1.12,513.0,GAP_UP_TARGET,2025-06-16
PAGEIND.NS,45329.91796875,45783.2171484375,1.0,464.0,TARGET_HIT_1%,2025-06-17
SRF.NS,3092.347900390625,3123.2713793945313,1.0,469.0,TARGET_HIT_1%,2025-06-18
SUNDRMFAST.NS,986.5130615234375,982.7279052734375,-0.38,-182.0,TIME_EXIT,2025-06-25
ICICIPRULI.NS,634.6500244140625,640.9965246582032,1.0,472.0,TARGET_HIT_1%,2025-06-26
GVT&D.NS,2342.20849609375,2365.6305810546874,1.0,476.0,TARGET_HIT_1%,2025-06-27
ASAHIINDIA.NS,731.7611083984375,739.2433448245421,1.02,492.0,GAP_UP_TARGET,2025-06-30
NAUKRI.NS,1482.0135498046875,1407.9128723144531,-5.0,-2430.0,STOP_LOSS,2025-07-07
TECHNOE.NS,1568.79541015625,1584.4833642578126,1.0,462.0,TARGET_HIT_1%,2025-07-08
VEDL.NS,440.0867919921875,444.61980442992683,1.03,480.0,GAP_UP_TARGET,2025-07-09
BHEL.NS,261.50048828125,253.81666564941406,-2.94,-1385.0,TIME_EXIT,2025-07-16
DEEPAKNTR.NS,1951.32470703125,1919.0582275390625,-1.65,-756.0,TIME_EXIT,2025-07-23
SRF.NS,3188.821533203125,3220.7097485351565,1.0,450.0,TARGET_HIT_1%,2025-07-24
FINPIPE.NS,208.65725708007812,210.74382965087892,1.0,454.0,TARGET_HIT_1%,2025-07-30
RRKABEL.NS,1411.351318359375,1425.4648315429688,1.0,459.0,TARGET_HIT_1%,2025-07-31
TATACOMM.NS,1724.699951171875,1638.464953613281,-5.0,-2317.0,STOP_LOSS,2025-08-04
HAVELLS.NS,1508.5999755859375,1474.199951171875,-2.28,-1004.0,TIME_EXIT,2025-08-11
JINDALSAW.NS,203.33999633789062,201.41000366210938,-0.95,-408.0,TIME_EXIT,2025-08-18
BBTC.NS,1856.0,1876.9000244140625,1.13,480.0,GAP_UP_TARGET,2025-08-20
COROMANDEL.NS,2419.199951171875,2443.3919506835937,1.0,431.0,TARGET_HIT_1%,2025-08-21
BSE.NS,2332.199951171875,2215.589953613281,-5.0,-2176.0,STOP_LOSS,2025-08-26
JPPOWER.NS,18.049999237060547,18.950000762939453,4.99,2062.0,GAP_UP_TARGET,2025-08-28
AADHARHFC.NS,497.0,501.97,1.0,434.0,TARGET_HIT_1%,2025-08-29
JUBLFOOD.NS,627.75,635.0,1.15,506.0,GAP_UP_TARGET,2025-09-02
ELGIEQUIP.NS,494.70001220703125,469.9650115966797,-5.0,-2217.0,STOP_LOSS,2025-09-09
BALKRISIND.NS,2295.8701171875,2318.828818359375,1.0,421.0,TARGET_HIT_1%,2025-09-10
ANANTRAJ.NS,532.8499755859375,538.1784753417969,1.0,426.0,TARGET_HIT_1%,2025-09-12
TEJASNET.NS,592.75,598.6775,1.0,430.0,TARGET_HIT_1%,2025-09-15
NH.NS,1772.800048828125,1790.5280493164062,1.0,434.0,TARGET_HIT_1%,2025-09-16
IDFCFIRSTB.NS,71.55000305175781,72.26550308227539,1.0,438.0,TARGET_HIT_1%,2025-09-18
APOLLOHOSP.NS,7850.5,7624.0,-2.89,-1278.0,TIME_EXIT,2025-09-25
LINDEINDIA.NS,6378.0,6226.0,-2.38,-1025.0,TIME_EXIT,2025-10-03
PHOENIXLTD.NS,1562.5,1578.125,1.0,420.0,TARGET_HIT_1%,2025-10-06
CUMMINSIND.NS,3943.0,3982.43,1.0,424.0,TARGET_HIT_1%,2025-10-10
HOMEFIRST.NS,1222.5999755859375,1234.825975341797,1.0,428.0,TARGET_HIT_1%,2025-10-15
PPLPHARMA.NS,193.5,195.435,1.0,433.0,TARGET_HIT_1%,2025-10-20
DATAPATTNS.NS,2782.0,2809.82,1.0,437.0,TARGET_HIT_1%,2025-10-21
HUDCO.NS,227.2644805908203,229.53712539672853,1.0,441.0,TARGET_HIT_1%,2025-10-23
SWANCORP.NS,429.6499938964844,433.94649383544925,1.0,446.0,TARGET_HIT_1%,2025-10-24
ICICIGI.NS,1993.9000244140625,2013.8390246582032,1.0,450.0,TARGET_HIT_1%,2025-10-27
GRANULES.NS,565.5999755859375,571.2559753417969,1.0,455.0,TARGET_HIT_1%,2025-10-28
BLUESTARCO.NS,1951.5999755859375,1971.115975341797,1.0,459.0,TARGET_HIT_1%,2025-10-29
RBLBANK.NS,323.6000061035156,326.8360061645508,1.0,464.0,TARGET_HIT_1%,2025-10-30
TRENT.NS,4744.5,4679.2001953125,-1.38,-645.0,TIME_EXIT,2025-11-06
MANAPPURAM.NS,273.5,276.235,1.0,462.0,TARGET_HIT_1%,2025-11-10
NMDC.NS,75.08000183105469,75.83080184936523,1.0,467.0,TARGET_HIT_1%,2025-11-11
HBLENGINE.NS,994.2000122070312,1014.0,1.99,938.0,GAP_UP_TARGET,2025-11-12
PRAJIND.NS,335.3999938964844,338.7539938354492,1.0,481.0,TARGET_HIT_1%,2025-11-13
BALKRISIND.NS,2338.300048828125,2361.683049316406,1.0,485.0,TARGET_HIT_1%,2025-11-17
RECLTD.NS,361.3999938964844,355.8500061035156,-1.54,-753.0,TIME_EXIT,2025-11-24
SRF.NS,2807.5,2835.575,1.0,483.0,TARGET_HIT_1%,2025-11-27
LINDEINDIA.NS,,5955.5,-1.11,-542.0,FORCE_CLOSE,
