Symbol,Entry,Exit,Return,Profit,Reason,Date
GMRAIRPORT.NS,78.58999633789062,79.37589630126953,1.0,500.0,TARGET_HIT_1%,2025-01-03
SHREECEM.NS,25925.3046875,25569.703125,-1.37,-693.0,TIME_EXIT,2025-01-10
PIDILITIND.NS,1440.787353515625,1397.0872802734375,-3.03,-1511.0,TIME_EXIT,2025-01-17
J&KBANK.NS,92.63134002685547,93.55765342712402,1.0,483.0,TARGET_HIT_1%,2025-01-20
BRIGADE.NS,1134.0821533203125,1077.3780456542968,-5.0,-2439.0,STOP_LOSS,2025-01-22
ECLERX.NS,3154.4609375,3186.005546875,1.0,463.0,TARGET_HIT_1%,2025-01-23
RHIM.NS,475.45654296875,480.2111083984375,1.0,468.0,TARGET_HIT_1%,2025-01-24
BPCL.NS,249.65635681152344,252.1529203796387,1.0,473.0,TARGET_HIT_1%,2025-01-31
WOCKPHARMA.NS,1416.9000244140625,1558.449951171875,9.99,4770.0,GAP_UP_TARGET,2025-02-03
PFC.NS,369.2314453125,379.5837248726243,2.8,1472.0,GAP_UP_TARGET,2025-02-04
OFSS.NS,8800.658203125,8888.66478515625,1.0,540.0,TARGET_HIT_1%,2025-02-05
SCHNEIDER.NS,653.75,660.2875,1.0,545.0,TARGET_HIT_1%,2025-02-06
JWL.NS,351.5311584472656,333.95460052490233,-5.0,-2754.0,STOP_LOSS,2025-02-10
RECLTD.NS,402.96514892578125,382.81689147949214,-5.0,-2616.0,STOP_LOSS,2025-02-12
UNOMINDA.NS,989.0752563476562,939.6214935302734,-5.0,-2485.0,STOP_LOSS,2025-02-13
AUROPHARMA.NS,1175.5372314453125,1187.2926037597656,1.0,472.0,TARGET_HIT_1%,2025-02-14
CIPLA.NS,1444.0244140625,1458.464658203125,1.0,477.0,TARGET_HIT_1%,2025-02-17
JUBLFOOD.NS,680.4636840820312,687.2683209228516,1.0,482.0,TARGET_HIT_1%,2025-02-18
POWERGRID.NS,261.4033203125,250.43601989746094,-4.2,-2041.0,TIME_EXIT,2025-02-25
LAURUSLABS.NS,548.9469604492188,521.4996124267578,-5.0,-2330.0,STOP_LOSS,2025-02-28
FSL.NS,346.0,349.46,1.0,443.0,TARGET_HIT_1%,2025-03-03
ATUL.NS,5497.57568359375,5552.551440429687,1.0,447.0,TARGET_HIT_1%,2025-03-05
DEEPAKFERT.NS,1039.95263671875,1050.3521630859375,1.0,452.0,TARGET_HIT_1%,2025-03-06
BHARTIARTL.NS,1613.412109375,1629.54623046875,1.0,456.0,TARGET_HIT_1%,2025-03-10
TRENT.NS,4795.5458984375,4843.501357421875,1.0,461.0,TARGET_HIT_1%,2025-03-11
PERSISTENT.NS,5225.8603515625,5153.40576171875,-1.39,-645.0,TIME_EXIT,2025-03-18
SHREECEM.NS,27602.33203125,27878.3553515625,1.0,459.0,TARGET_HIT_1%,2025-03-19
GSPL.NS,272.5758056640625,275.30156372070314,1.0,463.0,TARGET_HIT_1%,2025-03-20
ASTRAL.NS,1270.8643798828125,1283.5730236816407,1.0,468.0,TARGET_HIT_1%,2025-03-21
GODIGIT.NS,297.25,300.2225,1.0,473.0,TARGET_HIT_1%,2025-03-24
METROPOLIS.NS,1610.314208984375,1632.2686689001655,1.36,651.0,GAP_UP_TARGET,2025-03-25
ZFCVINDIA.NS,11980.119140625,12099.92033203125,1.0,484.0,TARGET_HIT_1%,2025-03-26
SOBHA.NS,1201.4776611328125,1213.4924377441407,1.0,489.0,TARGET_HIT_1%,2025-03-27
VBL.NS,534.7744750976562,540.1222198486328,1.0,494.0,TARGET_HIT_1%,2025-03-28
ENGINERSIN.NS,158.17507934570312,159.75683013916014,1.0,499.0,TARGET_HIT_1%,2025-04-01
BIKAJI.NS,691.0794677734375,697.9902624511719,1.0,504.0,TARGET_HIT_1%,2025-04-02
MOTHERSON.NS,87.9412612915039,83.54419822692871,-5.0,-2544.0,STOP_LOSS,2025-04-04
INDHOTEL.NS,797.00634765625,757.1560302734374,-5.0,-2416.0,STOP_LOSS,2025-04-07
GPIL.NS,179.3179168701172,183.99490016933822,2.61,1198.0,GAP_UP_TARGET,2025-04-08
FEDERALBNK.NS,189.383544921875,191.27738037109376,1.0,471.0,TARGET_HIT_1%,2025-04-11
JMFINANCIL.NS,92.65275573730469,93.57928329467774,1.0,476.0,TARGET_HIT_1%,2025-04-15
LEMONTREE.NS,142.25999450683594,143.6825944519043,1.0,481.0,TARGET_HIT_1%,2025-04-16
ICICIGI.NS,1799.198974609375,1817.1909643554689,1.0,485.0,TARGET_HIT_1%,2025-04-21
RKFORGE.NS,719.250244140625,726.4427465820313,1.0,490.0,TARGET_HIT_1%,2025-04-22
MAXHEALTH.NS,1127.39892578125,1143.080963596829,1.39,689.0,GAP_UP_TARGET,2025-04-23
360ONE.NS,1047.95751953125,995.5596435546875,-5.0,-2510.0,STOP_LOSS,2025-04-25
JSWINFRA.NS,302.7743835449219,289.20916748046875,-4.48,-2137.0,TIME_EXIT,2025-05-02
HYUNDAI.NS,1694.1910400390625,1711.1329504394532,1.0,456.0,TARGET_HIT_1%,2025-05-05
ANANDRATHI.NS,1734.9764404296875,1648.227618408203,-5.0,-2301.0,STOP_LOSS,2025-05-09
PFIZER.NS,4130.05126953125,4171.351782226562,1.0,437.0,TARGET_HIT_1%,2025-05-12
FORTIS.NS,675.8507080078125,682.6092150878907,1.0,441.0,TARGET_HIT_1%,2025-05-14
BIOCON.NS,337.7484130859375,341.1258972167969,1.0,446.0,TARGET_HIT_1%,2025-05-15
TORNTPHARM.NS,3258.80859375,3291.3966796875,1.0,450.0,TARGET_HIT_1%,2025-05-19
RITES.NS,288.2027282714844,273.79259185791017,-5.0,-2274.0,STOP_LOSS,2025-05-20
BLUESTARCO.NS,1602.502197265625,1622.2075734759992,1.23,531.0,GAP_UP_TARGET,2025-05-21
AWL.NS,260.25,262.8525,1.0,437.0,TARGET_HIT_1%,2025-05-22
COALINDIA.NS,377.5771179199219,381.3528890991211,1.0,442.0,TARGET_HIT_1%,2025-05-23
