Symbol,Entry,Exit,Return,Profit,Date
KAJARIACER.NS,1132.8090859734903,1096.4169921875,-3.21,-535.0,2025-01-06
CIPLA.NS,1484.1457971643904,1475.63671875,-0.57,-96.0,2025-01-06
TECHNOE.NS,1647.1110230263603,1531.12841796875,-7.04,-1174.0,2025-01-06
OFSS.NS,8432.83378469494,8786.3447265625,4.19,673.0,2025-02-03
PFC.NS,383.4178957544283,369.2314453125,-3.7,-594.0,2025-02-03
LICHSGFIN.NS,567.5551438715516,547.9503784179688,-3.45,-555.0,2025-02-03
ATUL.NS,5276.414478636416,5497.57568359375,4.19,667.0,2025-03-03
KFINTECH.NS,875.0910920262055,866.4985961914062,-0.98,-156.0,2025-03-03
BLUEJET.NS,790.3096160478743,769.3464965820312,-2.65,-422.0,2025-03-03
LALPATHLAB.NS,1183.71888215693,1223.892578125,3.39,541.0,2025-04-07
GPIL.NS,168.17274397487398,179.3179168701172,6.63,1056.0,2025-04-07
DMART.NS,3761.199951171875,4023.14990234375,6.96,1110.0,2025-04-07
ANANDRATHI.NS,1709.532263563067,1734.9764404296875,1.49,251.0,2025-05-05
NH.NS,1765.8411782522212,1775.2191162109375,0.53,89.0,2025-05-05
IDFCFIRSTB.NS,66.17341147743446,66.80135345458984,0.95,160.0,2025-05-05
JINDALSTEL.NS,933.1487791481429,941.7816772460938,0.93,157.0,2025-06-02
HCLTECH.NS,1599.69684523629,1605.996826171875,0.39,67.0,2025-06-02
JSL.NS,640.1422667418324,641.3890380859375,0.19,33.0,2025-06-02
WAAREEENER.NS,2976.330300588415,2915.364501953125,-2.05,-350.0,2025-07-07
TECHNOE.NS,1566.9070670583937,1568.79541015625,0.12,21.0,2025-07-07
KIRLOSBROS.NS,2317.0243768195023,2306.161865234375,-0.47,-80.0,2025-07-07
HAVELLS.NS,1482.5999755859375,1508.5999755859375,1.75,297.0,2025-08-04
SOLARINDS.NS,13900.0,14366.0,3.35,568.0,2025-08-04
BANKBARODA.NS,235.16000366210938,241.1699981689453,2.56,433.0,2025-08-04
ASTRAL.NS,1367.690683050729,1405.9541015625,2.8,486.0,2025-09-01
HAL.NS,4341.0,4429.60009765625,2.04,355.0,2025-09-01
BLUEDART.NS,5659.0,5802.0,2.53,439.0,2025-09-01
ACC.NS,1850.0,1833.4000244140625,-0.9,-160.0,2025-10-06
MANYAVAR.NS,694.9000244140625,696.1500244140625,0.18,32.0,2025-10-06
AMBUJACEM.NS,576.1500244140625,573.7999877929688,-0.41,-73.0,2025-10-06
IDEA.NS,9.149999618530273,9.539999961853027,4.26,756.0,2025-11-03
PCBL.NS,364.79998779296875,357.79998779296875,-1.92,-341.0,2025-11-03
RADICO.NS,3149.89990234375,3193.60009765625,1.39,246.0,2025-11-03
KIRLOSBROS.NS,1690.300048828125,1685.5,-0.28,-51.0,2025-12-01
AIIL.NS,543.8400268554688,528.219970703125,-2.87,-516.0,2025-12-01
BAJAJHFL.NS,105.06999969482422,104.48999786376953,-0.55,-99.0,2025-12-01
