Symbol,Entry,Exit,Return,Profit,Date
ITI.NS,544.3499755859375,383.29998779296875,-29.59,-4931.0,2025-01-06
KAJARIACER.NS,1096.4169921875,1045.5177001953125,-4.64,-774.0,2025-01-06
SAREGAMA.NS,561.3864135742188,539.4193115234375,-3.91,-652.0,2025-01-06
WOCKPHARMA.NS,1572.75,1410.25,-10.33,-1503.0,2025-02-03
PHOENIXLTD.NS,1819.1800537109375,1542.5740966796875,-15.2,-2212.0,2025-02-03
SAREGAMA.NS,531.27978515625,472.1238098144531,-11.13,-1620.0,2025-02-03
CRAFTSMAN.NS,4483.0712890625,4781.17041015625,6.65,849.0,2025-03-03
HOMEFIRST.NS,995.8180541992188,999.20751953125,0.34,43.0,2025-03-03
BLUESTARCO.NS,2022.7833251953125,2004.1727294921875,-0.92,-117.0,2025-03-03
LALPATHLAB.NS,1223.892578125,1385.431884765625,13.2,1720.0,2025-04-07
DELHIVERY.NS,268.3500061035156,300.70001220703125,12.06,1571.0,2025-04-07
RAINBOW.NS,1402.9053955078125,1432.6461181640625,2.12,276.0,2025-04-07
RRKABEL.NS,1169.356201171875,1289.693115234375,10.29,1463.0,2025-05-05
NETWEB.NS,1602.4583740234375,1838.0728759765625,14.7,2090.0,2025-05-05
FORCEMOT.NS,10161.56640625,10590.1201171875,4.22,600.0,2025-05-05
ASTRAZEN.NS,9304.6962890625,10231.0302734375,9.96,1553.0,2025-06-02
RPOWER.NS,61.970001220703125,66.9800033569336,8.08,1261.0,2025-06-02
MAHABANK.NS,57.5099983215332,54.61000061035156,-5.04,-787.0,2025-06-02
JPPOWER.NS,22.649999618530273,21.520000457763672,-4.99,-812.0,2025-07-07
METROPOLIS.NS,1855.55615234375,1934.7919921875,4.27,695.0,2025-07-07
GODREJCP.NS,1257.606201171875,1228.158935546875,-2.34,-381.0,2025-07-07
SARDAEN.NS,522.9375,589.0714721679688,12.65,2037.0,2025-08-04
NETWEB.NS,2301.311767578125,2124.22607421875,-7.69,-1240.0,2025-08-04
TARIL.NS,558.9000244140625,502.0,-10.18,-1640.0,2025-08-04
OLAELEC.NS,62.47999954223633,60.5099983215332,-3.15,-499.0,2025-09-01
ATHERENERG.NS,486.79998779296875,546.9500122070312,12.36,1956.0,2025-09-01
ASTRAL.NS,1405.9541015625,1457.1051025390625,3.64,576.0,2025-09-01
MRPL.NS,147.61000061035156,151.52999877929688,2.66,438.0,2025-10-06
EMCURE.NS,1435.300048828125,1376.0999755859375,-4.12,-681.0,2025-10-06
NUVAMA.NS,1320.6658935546875,1338.1083984375,1.32,218.0,2025-10-06
NAVINFLUOR.NS,5899.1875,6003.0,1.76,290.0,2025-11-03
INTELLECT.NS,1198.0,1096.199951171875,-8.5,-1402.0,2025-11-03
LATENTVIEW.NS,474.8999938964844,479.0,0.86,142.0,2025-11-03
ZFCVINDIA.NS,14827.0,14631.0,-1.32,-214.0,2025-12-01
WOCKPHARMA.NS,1472.199951171875,1341.0,-8.91,-1442.0,2025-12-01
HINDZINC.NS,499.8500061035156,568.0499877929688,13.64,2207.0,2025-12-01
