Symbol,Entry,Exit,Return,Profit,Date
ITI.NS,544.3499755859375,323.3500061035156,-40.6,-6766.0,2025-01-06
KAJARIACER.NS,1096.4169921875,983.6757202148438,-10.28,-1714.0,2025-01-06
SAREGAMA.NS,561.3864135742188,478.6175842285156,-14.74,-2457.0,2025-01-06
WOCKPHARMA.NS,1572.75,1223.550048828125,-22.2,-2891.0,2025-02-03
SAREGAMA.NS,531.27978515625,460.4010925292969,-13.34,-1737.0,2025-02-03
PHOENIXLTD.NS,1819.1800537109375,1549.4132080078125,-14.83,-1931.0,2025-02-03
CRAFTSMAN.NS,4483.0712890625,4792.06103515625,6.89,747.0,2025-03-03
HOMEFIRST.NS,995.8180541992188,988.4408569335938,-0.74,-80.0,2025-03-03
BLUESTARCO.NS,2022.7833251953125,2101.654541015625,3.9,422.0,2025-03-03
LALPATHLAB.NS,1223.892578125,1378.5745849609375,12.64,1415.0,2025-04-07
DELHIVERY.NS,268.3500061035156,300.20001220703125,11.87,1329.0,2025-04-07
RAINBOW.NS,1402.9053955078125,1340.8291015625,-4.42,-495.0,2025-04-07
RRKABEL.NS,1169.356201171875,1382.879638671875,18.26,2182.0,2025-05-05
NETWEB.NS,1602.4583740234375,1946.7412109375,21.48,2567.0,2025-05-05
FORCEMOT.NS,10161.56640625,11607.3740234375,14.23,1700.0,2025-05-05
ASTRAZEN.NS,9304.6962890625,8878.154296875,-4.58,-646.0,2025-06-02
RPOWER.NS,61.970001220703125,70.29000091552734,13.43,1893.0,2025-06-02
MAHABANK.NS,57.5099983215332,57.11000061035156,-0.7,-98.0,2025-06-02
JPPOWER.NS,22.649999618530273,19.450000762939453,-14.13,-2046.0,2025-07-07
METROPOLIS.NS,1855.55615234375,2036.3814697265625,9.75,1411.0,2025-07-07
GODREJCP.NS,1257.606201171875,1238.7679443359375,-1.5,-217.0,2025-07-07
SARDAEN.NS,522.9375,586.5,12.15,1725.0,2025-08-04
NETWEB.NS,2301.311767578125,2526.89990234375,9.8,1392.0,2025-08-04
TARIL.NS,558.9000244140625,506.6000061035156,-9.36,-1328.0,2025-08-04
OLAELEC.NS,62.47999954223633,54.2400016784668,-13.19,-1951.0,2025-09-01
ATHERENERG.NS,486.79998779296875,580.5,19.25,2847.0,2025-09-01
ASTRAL.NS,1405.9541015625,1365.392822265625,-2.88,-427.0,2025-09-01
MRPL.NS,147.61000061035156,175.9199981689453,19.18,2867.0,2025-10-06
EMCURE.NS,1435.300048828125,1324.699951171875,-7.71,-1152.0,2025-10-06
NUVAMA.NS,1320.6658935546875,1362.6038818359375,3.18,475.0,2025-10-06
NAVINFLUOR.NS,5899.1875,5750.0,-2.53,-396.0,2025-11-03
INTELLECT.NS,1198.0,1107.800048828125,-7.53,-1180.0,2025-11-03
LATENTVIEW.NS,474.8999938964844,483.3999938964844,1.79,281.0,2025-11-03
WOCKPHARMA.NS,1472.199951171875,1428.4000244140625,-2.98,-454.0,2025-12-01
ZFCVINDIA.NS,14827.0,14826.0,-0.01,-1.0,2025-12-01
HINDZINC.NS,499.8500061035156,618.5499877929688,23.75,3620.0,2025-12-01
