f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24_fundamental,actual_return
-0.11741260869364116,-0.7013188551473089,-1.0776863707427802,-0.031459882831765186,-0.09780037958320961,1.6771747148514293,-0.07089325444610814,-0.07175963317098906,-0.06218612391515899,-0.050436616418922324,-0.06598254489429654,-0.051872348520781854,-0.05970641778042326,-0.04939156153851812,-0.059957389756480475,-0.0687474918587865,-0.04670402760706228,-0.045376976865906804,-0.04246182543200838,-0.05076514358934977,-0.06753679760079552,-0.040715291076393316,-0.05617117255515582,0.0,0.3533320800593105
0.07905591079208249,0.026680522921063748,0.8338779115936057,0.033460369742724747,0.19721530517515415,3.690062824659017,0.04353721246064344,0.03267705959118394,0.03505540368780149,0.04530472304337388,0.04978806980436333,0.04975201865301771,0.054478702779236936,0.05286337560168406,0.04486428717759596,0.045584158788830695,0.04347009192102423,0.051464991817475124,0.03185132052977555,0.04741775172432815,0.0321136305039262,0.033394783037741856,0.042050472651344935,0.0,0.037376720099622895
-0.0047544041354033095,-0.011310393696768445,-0.4258110884182009,-0.001601174379382857,-0.014866870913445367,2.4402473613750395,-0.0021388442193068596,-0.0021516908548481995,-0.0026122077772243683,-0.0031639766555297153,-0.0033242024201034785,-0.0023334152782172432,-0.0024376655333010443,-0.002563234233422748,-0.003696968893533109,-0.002725860027401739,-0.0032176319909073678,-0.002942358678726406,-0.0026122988310402647,-0.002079649291789051,-0.0031579931092174376,-0.002703399342584305,-0.0034681233285461972,0.0,0.04286047034305218
-0.061837211204428144,-0.0353937979567228,-0.5988038637447923,-0.01094400456628199,-0.1290438762145404,1.1478163709777252,-0.038107751642986465,-0.04167224984080205,-0.043338168812463745,-0.03911788933616842,-0.04058488396167516,-0.02809303095105667,-0.030428389987223414,-0.03628490386131086,-0.030251198592782722,-0.03369033371527358,-0.034903595378138405,-0.04343274071642269,-0.040123029243042334,-0.029249711246305096,-0.04521642077840955,-0.02682029436381198,-0.04245739061062828,0.0,0.2239916292657289
0.024402906443848738,0.33435241065980176,0.12602273135315922,0.0031865116730330784,0.10285595629603884,2.329055476042015,0.008742905034628807,0.011108851112051595,0.011682409985393617,0.011680910905512184,0.009350747143071119,0.014925295610959859,0.014439901488847972,0.009621242873981906,0.014352044514345512,0.0115593945175348,0.008975021502236662,0.01158239711912392,0.014108169069507424,0.013534727886028122,0.01135104108399978,0.010943865014701524,0.014893209379337575,0.0,0.021607408653230298
0.07017591715175701,-0.39961061413299337,0.46118605904834187,0.032116800758934215,0.09643285846623383,3.229032477608549,0.03263209289425036,0.02921752129952228,0.04100899489558677,0.03984137691888544,0.02897011131512385,0.039501496590931634,0.03704237474906815,0.03131399594808541,0.03329790851770139,0.04334839802827688,0.04238430275430869,0.034912876428338784,0.04383635543971256,0.04387710883376334,0.026627795991753224,0.03881190484393952,0.04028497862975504,0.0,0.09478318354005721
0.04545964806745648,-1.20584358584502,2.544295351477095,0.038963578860732116,-0.048851921553509293,1.820849132187379,0.03271846974892905,0.03212368190036069,0.019066673195726802,0.021071630241075636,0.02641427307753323,0.026500015827707075,0.02052597377857655,0.019361639476605984,0.023798942095659477,0.019047735440211978,0.02325176836962918,0.02854108255192616,0.027854579989490657,0.021715511032538624,0.022625552712568303,0.018320171181826907,0.02787893676065257,0.0,0.23714534828457956
0.0013148950405770829,-0.47003169928400085,0.30946230564881105,0.0023516920115576995,-0.016041629024967117,3.9608394516189396,0.0013113641772180896,0.0009715266219322587,0.0008979200224903929,0.0014584890447609075,0.0014616135618585257,0.0011302098197394448,0.0012675551655461502,0.0013744465532771035,0.001230366618918608,0.001234288917408903,0.0011669805924388221,0.001492511904331848,0.0015157219515918412,0.0013671115015203746,0.0014502277929420826,0.0012480426670092146,0.0010350161852702093,0.0,0.08914886650544962
0.15975946806420488,-0.5564124725876751,1.3368010933786922,0.07773959158018828,0.14087887363858745,3.6789904086268934,0.07846086017783606,0.0488696878343702,0.07778931683771141,0.07339034256770063,0.07658661539101722,0.05281779412678651,0.059210678886462836,0.07703998001547982,0.0584583546304469,0.05219204218463712,0.05518916806657219,0.06378992485300518,0.0653222441581909,0.05759145024060255,0.0752541854743683,0.07371949791501343,0.08640412256351448,0.0,0.04100883291709079
0.03363369643065687,-0.043467121410490334,0.1588664283767982,0.006801892740060799,0.09720720991178963,2.906757229113745,0.012649650613823124,0.014701778175214696,0.01683208683136286,0.01337279692762303,0.018510665157284657,0.016029245831888545,0.012282839328129513,0.01678886045589019,0.015641159916024737,0.011352999261962276,0.012765584934325981,0.01636342518111762,0.018244955996748455,0.013006467982919092,0.014786247275415498,0.011915746054134885,0.01840029232072809,0.0,0.26795210281932014
