f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,actual_return
-0.04062916599566815,-0.05539840097932368,0.5247818895983157,-0.017344187292539153,-0.09622978791719557,3.8374277758844055,-0.023274306464243926,-0.0208883305484146,-0.021499226961122702,-0.0227031750430516,-0.019749966210927183,-0.024287375395773417,-0.02230172003648132,-0.017455982782613445,-0.021268696438615578,-0.01778371285558673,-0.021525327773646966,-0.020838014543106784,-0.024214778855347938,-0.020148059006055458,-0.02163295523787506,-0.018745356452352323,-0.028314578256119587,0.16226673830945693
-0.07570510866447402,-0.3157852206329821,-0.2703552134555631,-0.022747373526550235,-0.16195470063683423,3.0190632230541863,-0.04503670951687819,-0.03195913939716714,-0.032480709660724506,-0.025797330828039297,-0.024778822978019224,-0.041603510612862146,-0.032825203782511254,-0.03242524555041475,-0.042718278264138175,-0.03809213714416256,-0.03261466627124224,-0.03051958640528218,-0.04274618381838849,-0.029942852394635008,-0.02914439359678208,-0.044951633382308634,-0.03968650115741644,0.07813011789050339
-0.06302055656902977,-0.7916573515229032,0.23083449761187239,-0.014213070405271581,-0.07994767838010654,2.2115887192061567,-0.028241978206647603,-0.03379835711498689,-0.026060361901686306,-0.02861118537821757,-0.0232171000632562,-0.021134659007962426,-0.022468626752308325,-0.021196552299609293,-0.035464700188031974,-0.019814616509312512,-0.026362860884477677,-0.03116929395702181,-0.03326950048651253,-0.03124329789001769,-0.035135509822428496,-0.03556048084452557,-0.02668882262287425,0.023398371389096617
-0.013822329750246965,0.8015549148123157,1.0261371873588179,-0.004842593185119768,-0.020714972891284107,2.284708703622094,-0.006783577908458733,-0.006941349738433452,-0.006038778841074383,-0.005787483933394549,-0.007607116364408749,-0.009002316606623215,-0.00813519390913843,-0.006784283890190553,-0.007022877662245768,-0.0060191201347883925,-0.005806526653578683,-0.00524564176295119,-0.009225117273745477,-0.00560137736107678,-0.006080597494244234,-0.006684027517684834,-0.005465633214516838,-0.013871879556555888
0.025967623094407866,0.24300987237429134,1.1264307077473852,0.00880846356261531,0.0589640808552725,3.886565211929514,0.012991962191973409,0.015979026803263238,0.010974110854729246,0.009049541390108811,0.012726553463005932,0.009878982129543292,0.01178493500821041,0.012429089286023423,0.009512265826930053,0.015413695946891213,0.013585391186856142,0.014450666159286894,0.011410030771245232,0.013430693260727935,0.01345447436443476,0.014250036703573951,0.015366878900772648,-0.027589291842497032
0.22567881717361915,-1.0893992857597898,4.0374564425620445,0.21085948216553932,-0.046699842961931956,1.6447248553693614,0.11809083937212447,0.1671695085069216,0.16112623704879872,0.16457996312950854,0.12424393154830582,0.09767407064562793,0.1422770913453908,0.10743736611180882,0.13160637999936975,0.15842871366170325,0.12365294111303686,0.13811308763803185,0.12730752606284598,0.10648965082518222,0.11431120433903473,0.1511138238455175,0.14324941017123125,0.08506329800234846
0.17980653743272804,2.2484948202507895,0.3842761685845364,0.01648278456503282,0.4058266322500393,3.199330600149447,0.04060836537720652,0.056938687894404934,0.06109039397938548,0.050739073068800405,0.0633813043461163,0.06368269628832922,0.05416621071627426,0.05178974612769005,0.05380416667090883,0.05045725482366912,0.037450815193292436,0.0577842153276881,0.05453835474235839,0.04683052588209287,0.05990920842939408,0.0647046980666468,0.06772020710488465,0.0039013648505596965
-0.046098351492330186,-1.3981333322365281,0.4308344184708693,-0.023654223737311925,0.012023717657254632,3.1548163971282595,-0.023670028982599692,-0.02398405058687109,-0.02911384136955707,-0.017796620970525538,-0.01908014774912187,-0.01659254216306165,-0.01761145145880915,-0.017972777847738687,-0.018981044207978304,-0.027083087781828837,-0.02526292815784446,-0.023621818133740407,-0.019737468674666213,-0.019959338163487442,-0.023079515147398817,-0.020616708547270476,-0.019223013490215348,0.0039189221874085245
-0.0651946421577001,-5.142100510787731,0.37827018537031076,0.0005269931307288458,-0.21050067830370806,3.002913450521593,-0.01848530325342285,-0.02229056062457096,-0.02160889764109262,-0.02564042935073786,-0.016547208365844154,-0.025671757191625167,-0.024871082311340775,-0.026364637751362698,-0.01838425795807931,-0.024775422201372133,-0.024316073405354344,-0.01714089271829134,-0.01626338179337913,-0.026518130562307594,-0.017555073084102472,-0.016014777685404085,-0.022221167276873652,-0.050488269823985577
0.02819710879714252,0.4202941511774845,0.34221489819540646,0.004816716508761179,0.11384126934758686,3.100814104669189,0.012515015835117578,0.009760994199615652,0.010972307964644377,0.011179290198556124,0.012046723213388734,0.016231405577737702,0.011792149416319266,0.01619076733287387,0.012180361624951917,0.010240812145883856,0.012809884313943327,0.013942294228639936,0.013157043623843196,0.01342417704866119,0.01412628753959223,0.009604924860217494,0.011378108529666305,-0.015956011464234532
0.10361799998515678,0.3798412301541084,0.2669147219374931,0.028348194655410393,0.2962740491364782,3.3037395988135523,0.048059953346447117,0.04695811736013709,0.04463560983956388,0.053632337855087586,0.03673967130424654,0.04127392451805762,0.05386795083549161,0.03640510653603151,0.06145739391132099,0.046451034963273935,0.03923698131830602,0.03913052651091564,0.06437937614866386,0.037640958518693306,0.04824859578836137,0.044507973135807594,0.04307845324263182,-0.014068041392923059
0.01525389456985056,3.602126712917408,0.7071690344820869,-0.002917019435023262,0.06712420885096869,2.590481005112824,0.005859327946247052,0.004916060256664741,0.0045429433023302275,0.004983412251738932,0.005796525904704504,0.00596614349617827,0.00338653119911822,0.006238850125061371,0.003930394899982644,0.004741654319108784,0.005402767457253376,0.005086180292702582,0.006236539679989873,0.00411168954714233,0.003558923826890001,0.0050207234561999775,0.005646898401668558,0.04078306181644509
-0.07415028868271967,-0.35612709172479334,0.13061915213487207,-0.02669458964534623,-0.16812620829405409,2.9764256204935,-0.03464313684276764,-0.03839467006634511,-0.04404171018563935,-0.031122203489968858,-0.040421935398357256,-0.05222144028594156,-0.04197518049637029,-0.03143413053730509,-0.047217911827239605,-0.03835732235543895,-0.03851804043110673,-0.04768309521794014,-0.030439742584335315,-0.04944526531107575,-0.04257973573162546,-0.0385285274066763,-0.03977080607534614,0.04719571941500922
-0.01864739497708198,-2.7573669027662984,0.7794970426777326,-0.013545470889262888,0.027226366712097293,3.2374918551622023,-0.010647115410992631,-0.008088167666650482,-0.009261429611552838,-0.009286377348027536,-0.011032132452813398,-0.008873814069659937,-0.010203152596406808,-0.010789293719025468,-0.009554965040300524,-0.00769702476525489,-0.00704170684212563,-0.008836517997225887,-0.010240047338857451,-0.011215090363215137,-0.007842470794172694,-0.011028827182318268,-0.009926085548939359,0.00898981542523547
-0.06119787618978068,-0.2798221956249947,0.21626615877309868,-0.011935701909549156,-0.13474631594154166,2.397126920961199,-0.03291817611855113,-0.03542562005508696,-0.03358294540861113,-0.02473110371557233,-0.03401649317657312,-0.024167485639035455,-0.03432111758420991,-0.025267113361608272,-0.03193823062675815,-0.02853466918277891,-0.02414284080235465,-0.034954179695684415,-0.022743962766843952,-0.026166335946557043,-0.03026890014417235,-0.0250514224809506,-0.035032630315764104,0.07620941752204957
-0.10943747778936824,-0.72065669748376,-0.5609163463356953,-0.036884412881555806,-0.1378100380794986,1.6860046746776443,-0.06661222709977163,-0.0657112831799354,-0.09139697241506622,-0.08830737565651983,-0.06170673295296621,-0.08110973605676089,-0.06133681294489895,-0.07578201379423098,-0.06412326457836767,-0.08130598449007309,-0.08770270617863764,-0.04976913071161188,-0.06887864093077777,-0.050572144463609234,-0.053198754118350754,-0.05846375079964077,-0.08189799092308958,0.0501809635400976
0.04648299368358522,-0.7294261741569315,0.30370042768179895,0.0382592076296453,0.04228602057214759,3.9347315502268447,0.0293571579306057,0.02517599477531742,0.03870386929657709,0.045199236701002926,0.029769068389602405,0.04529399597660884,0.02810730894560621,0.03235660220493911,0.04106731160374734,0.032293603404346456,0.037277309045348796,0.043920561209599106,0.03705127036626477,0.04295346449113722,0.03749370942481688,0.045243439012005976,0.040414048095236764,0.028326471788098218
