Symbol,Entry,Exit,Return,Profit,Reason,Date,Days
ONESOURCE.NS,2195.0,2029.699951171875,-7.53,-1108.0,EMA_CROSS,2025-06-20,2
BEML.NS,2319.11083984375,2220.93798828125,-4.23,-579.0,EMA_CROSS,2025-06-24,4
BEML.NS,2393.6904296875,2220.93798828125,-7.22,-987.0,EMA_CROSS,2025-06-24,1
MCX.NS,1636.9481201171875,1692.7349853515625,3.41,440.0,EMA_CROSS,2025-07-08,14
MCX.NS,1725.808837890625,1692.7349853515625,-1.92,-247.0,EMA_CROSS,2025-07-08,13
JPPOWER.NS,22.389999389648438,22.729999542236328,1.52,197.0,EMA_CROSS,2025-07-17,9
FORCEMOT.NS,16682.169921875,16906.673828125,1.35,175.0,EMA_CROSS,2025-07-31,22
SYRMA.NS,712.9303588867188,728.1521606445312,2.14,282.0,EMA_CROSS,2025-08-04,18
BOSCHLTD.NS,40385.0,38255.0,-5.27,-695.0,EMA_CROSS,2025-08-06,6
NETWEB.NS,2301.311767578125,2102.15283203125,-8.65,-1166.0,HARD_STOP,2025-08-08,4
SARDAEN.NS,580.2935180664062,533.6107177734375,-8.04,-1003.0,HARD_STOP,2025-08-08,2
ATHERENERG.NS,426.3500061035156,557.2000122070312,30.69,3649.0,EMA_CROSS,2025-09-25,48
ATHERENERG.NS,421.5,557.2000122070312,32.19,3827.0,EMA_CROSS,2025-09-25,45
NETWEB.NS,3613.5,3963.60009765625,9.69,1514.0,EMA_CROSS,2025-10-09,14
NETWEB.NS,3695.39990234375,3963.60009765625,7.26,1134.0,EMA_CROSS,2025-10-09,13
HINDCOPPER.NS,364.1499938964844,330.1499938964844,-9.34,-1583.0,EMA_CROSS,2025-10-14,5
AGARWALEYE.NS,535.2000122070312,520.8499755859375,-2.68,-454.0,EMA_CROSS,2025-10-24,14
MCX.NS,1879.5,1800.699951171875,-4.19,-644.0,EMA_CROSS,2025-10-24,10
SAMMAANCAP.NS,188.25,179.24000549316406,-4.79,-747.0,EMA_CROSS,2025-11-10,17
SAMMAANCAP.NS,188.6300048828125,179.24000549316406,-4.98,-777.0,EMA_CROSS,2025-11-10,14
CCL.NS,1068.449951171875,1014.8499755859375,-5.02,-745.0,EMA_CROSS,2025-11-20,10
CHENNPETRO.NS,1032.550048828125,1025.199951171875,-0.71,-106.0,EMA_CROSS,2025-11-21,10
KIRLOSENG.NS,1181.449951171875,1124.8499755859375,-4.79,-676.0,EMA_CROSS,2025-11-28,8
M&MFIN.NS,342.54998779296875,403.0,17.65,2601.0,FORCE_CLOSE,,0
M&MFIN.NS,371.8500061035156,403.0,8.38,1125.0,FORCE_CLOSE,,0
