Symbol,Score,Scan_Price,Exit_Price,Date,Return_Pct
CIPLA.NS,2.3118666732841797,1475.63671875,1431.90380859375,2025-01-06,-0.029636637256692633
AEGISLOG.NS,0.4195297899451104,837.4111328125,813.16845703125,2025-01-06,-0.028949550383727707
APLLTD.NS,0.39236460984754373,1053.8336181640625,990.9823608398438,2025-01-06,-0.059640588647869475
BATAINDIA.NS,0.44733284546777535,1404.6077880859375,1343.373779296875,2025-02-03,-0.043595094166825166
BAJFINANCE.NS,0.4377048110663532,837.4127807617188,816.3676147460938,2025-02-03,-0.025131173656654848
CENTURYPLY.NS,0.43519342803528055,829.4988403320312,793.3946533203125,2025-02-03,-0.04352530137024302
GODREJIND.NS,0.28721120348361284,1103.449951171875,1128.5,2025-03-03,0.02270157228383729
BLUEJET.NS,0.2771794454143482,769.3464965820312,836.4285278320312,2025-03-03,0.08719352274693493
BAJFINANCE.NS,0.26589542253274395,857.4937744140625,843.2417602539062,2025-03-03,-0.016620545344361082
LALPATHLAB.NS,12.090080406165775,1223.892578125,1377.5313720703125,2025-04-07,0.12553290761897307
GODREJCP.NS,0.3157950663974907,1145.767822265625,1229.223876953125,2025-04-07,0.07283853941933471
BHARTIHEXA.NS,0.2028622722558773,1392.4285888671875,1505.5057373046875,2025-04-07,0.08120857998864706
ADANIGREEN.NS,0.4974140362632851,965.7000122070312,967.25,2025-05-05,0.0016050406682985852
FINCABLES.NS,0.4839305435811959,904.723388671875,920.27685546875,2025-05-05,0.017191405673403937
GESHIP.NS,0.4802140793377413,912.4351806640625,903.3186645507812,2025-05-05,-0.009991412328759997
GODREJCP.NS,0.48599730039292427,1255.32568359375,1213.3857421875,2025-06-02,-0.033409609915877936
CCL.NS,0.410476959498802,884.6914672851562,847.0608520507812,2025-06-02,-0.042535298039950264
GODREJIND.NS,0.383013223977238,1199.0,1280.0999755859375,2025-06-02,0.06763967938777116
GODREJCP.NS,0.4621801831030436,1257.606201171875,1254.036865234375,2025-07-07,-0.0028381984234603364
CIPLA.NS,0.39956384742594625,1510.5,1475.800048828125,2025-07-07,-0.02297249332795437
CREDITACC.NS,0.37796218013393,1285.0999755859375,1297.199951171875,2025-07-07,0.009415590861263867
CCL.NS,0.47315098325772953,922.2225952148438,857.8499755859375,2025-08-04,-0.06980160751093922
CENTURYPLY.NS,0.3990091449603031,752.646240234375,725.5306396484375,2025-08-04,-0.036027019250762016
ASTRAL.NS,0.39034208366794243,1424.648681640625,1288.6163330078125,2025-08-04,-0.09548483804172525
ASTRAL.NS,5.072373287704621,1405.9541015625,1437.0242919921875,2025-09-01,0.022099007638412882
CGPOWER.NS,0.4794819010353155,717.2000122070312,768.9500122070312,2025-09-01,0.07215560390294806
CCL.NS,0.4759636164702497,904.9500122070312,917.5,2025-09-01,0.013868155835880192
EMCURE.NS,0.4954924631661691,1435.300048828125,1364.5,2025-10-06,-0.04932769903124501
CHENNPETRO.NS,0.43405579847555575,807.7000122070312,758.2000122070312,2025-10-06,-0.06128512969158162
FORTIS.NS,0.4024172586580338,1053.9000244140625,1087.5999755859375,2025-10-06,0.03197642128399347
FACT.NS,0.48183739461736536,908.1500244140625,894.5499877929688,2025-11-03,-0.01497553956447717
LALPATHLAB.NS,0.4499352351488996,1623.784423828125,1540.3499755859375,2025-11-03,-0.05138271251887494
BDL.NS,0.4470951337402736,1536.5999755859375,1532.4000244140625,2025-11-03,-0.0027332755685314236
CANFINHOME.NS,0.3970631954648875,902.4072265625,895.361083984375,2025-12-01,-0.007808162845687305
CIPLA.NS,0.37947217096669755,1523.0999755859375,1490.9000244140625,2025-12-01,-0.02114106210230071
AUBANK.NS,0.3589223246937159,950.5,993.7000122070312,2025-12-01,0.04544977612523016
