Symbol,Entry,Exit,Return,Profit,Reason,Date
KAJARIACER.NS,1096.4169921875,1019.6678027343751,-7.0,-3500.0,STOP_LOSS,2025-01-06
OFSS.NS,8786.3447265625,8629.5791015625,-1.78,-830.0,TIME_EXIT,2025-02-03
ATUL.NS,5497.57568359375,5499.22021484375,0.03,14.0,TIME_EXIT,2025-03-03
LALPATHLAB.NS,1223.892578125,1355.1214599609375,10.72,4898.0,TIME_EXIT,2025-04-07
ANANDRATHI.NS,1734.9764404296875,1784.243408203125,2.84,1436.0,TIME_EXIT,2025-05-05
JINDALSTEL.NS,941.7816772460938,953.1591186523438,1.21,628.0,TIME_EXIT,2025-06-02
WAAREEENER.NS,2915.364501953125,3288.6552734375,12.8,6741.0,TIME_EXIT,2025-07-07
HAVELLS.NS,1508.5999755859375,1465.9000244140625,-2.83,-1681.0,TIME_EXIT,2025-08-04
ASTRAL.NS,1405.9541015625,1437.0242919921875,2.21,1275.0,TIME_EXIT,2025-09-01
ACC.NS,1833.4000244140625,1857.4000244140625,1.31,772.0,TIME_EXIT,2025-10-06
IDEA.NS,9.539999961853027,10.369999885559082,8.7,5199.0,TIME_EXIT,2025-11-03
KIRLOSBROS.NS,1685.5,1567.515,-7.0,-4547.0,STOP_LOSS,2025-12-01
